userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpw,wal_bytes
16384,16385,-8177193649675968187,"select delivery($1,$2)",5095716,48596.762501996796,0.004294,1.506831,0.009536787862981184,0.0031468077727561748,5095716,670257933.3106539,1.32168,65579.474398,131.5336124129861,496.6797309651982,5095716,5613552419,130034062,130582453,92003432,0,0,0,0,0,0,0,0,1262949056,16071561,227984216483
10,16385,4781283453004295250,GRANT EXECUTE ON FUNCTION pgstathashindex(regclass) TO pg_stat_scan_tables,0,0,0,0,0,0,1,0.017426,0.017426,0.017426,0.017426,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,218
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,8.404775,8.404775,8.404775,8.404775,0,9,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-2940745828441066592,"WITH
settings (block_size, shared_buffers, effective_cache_size) AS (
    VALUES (pg_size_bytes(current_setting($1)),
            pg_size_bytes(current_setting($2)),
            pg_size_bytes(current_setting($3)))
),
rels (oid, size) AS (
    SELECT oid, sum(relpages) OVER (ORDER BY relpages)
    FROM pg_class
    WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $4)
      AND relkind IN ($5, $6)
)
SELECT pg_prewarm(r.oid, CASE WHEN r.size * s.block_size <= s.shared_buffers THEN $7 ELSE $8 END)
FROM rels AS r,
     settings AS s
WHERE r.size * s.block_size <= GREATEST(s.shared_buffers, s.effective_cache_size)",1,0.560641,0.560641,0.560641,0.560641,0,1,58110.234475,58110.234475,58110.234475,58110.234475,0,19,99839,1188892,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-612067243876128769,SELECT loop_counter,500,1.0799369999999995,0.001474,0.010069,0.002159874000000002,0.000671967685327204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13434,-1257072994443807572,"SELECT ct.conname, ct.conkey, ct.confkey, nl.nspname AS fknsp, cl.relname AS fktab, nr.nspname AS refnsp, cr.relname AS reftab FROM pg_constraint ct JOIN pg_class cl ON cl.oid = ct.conrelid JOIN pg_namespace nl ON nl.oid = cl.relnamespace JOIN pg_class cr ON cr.oid = ct.confrelid JOIN pg_namespace nr ON nr.oid = cr.relnamespace JOIN pg_catalog.pg_namespace nc ON nc.oid = ct.connamespace WHERE contype=$2 AND nc.nspname = $1",80,239.241729,1.110265,20.081713,2.9905216125000003,2.4048941767626624,80,6.110424999999998,0.010512,0.8377560000000001,0.07638031249999998,0.10897945019630925,0,17343,2177,0,1343,0,0,0,0,0,0,0,0,0,0,0
10,16385,216036630461505403,COPY (SELECT * FROM pg_settings) TO stdout WITH CSV HEADER,1,0.264047,0.264047,0.264047,0.264047,0,1,1.3623699999999999,1.3623699999999999,1.3623699999999999,1.3623699999999999,0,335,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,155136.391322,155136.391322,155136.391322,155136.391322,0,19,20741343,24788739,0,0,0,0,0,0,0,0,0,0,4,0,252
16384,16385,8457438855670799992,"INSERT INTO ORDERS (o_id, o_d_id, o_w_id, o_c_id, o_entry_d, o_ol_cnt, o_all_local) VALUES (o_id, no_d_id, no_w_id, no_c_id, current_timestamp, no_o_ol_cnt, no_o_all_local)",7500,100.21388300000005,0.007048,0.194778,0.013361851066666696,0.00418564834637983,50963750,5351097.659118078,0.010703,15598.509283,0.10499811452487687,7.614045774820922,50963750,433409839,39339519,40742870,27707233,0,0,0,0,0,0,0,0,153434751,2157552,25264872878
16384,16385,90500893403881250,"UPDATE order_line SET ol_delivery_d = current_timestamp
WHERE ol_o_id = d_no_o_id AND ol_d_id = d_d_id AND
ol_w_id = d_w_id",5000,564.4936070000006,0.017343,1.689347,0.11289872139999987,0.1313739305372576,50957160,349190347.7737706,0.012621,64544.462212,6.852625769840749,90.39383350074671,509586520,2142393575,53434194,56150273,40591769,0,0,0,0,0,0,0,0,1007749368,8276771,151771581779
10,16385,2483231754448897328,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,2,2.494289,0.196711,2.297578,1.2471445,1.0504335,1,0.190682,0.190682,0.190682,0.190682,0,9,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,1774179541875190233,"SELECT c_first, c_middle, c_id,
c_street_1, c_street_2, c_city, c_state, c_zip,
c_phone, c_credit, c_credit_lim,
c_discount, c_balance, c_since
FROM customer
WHERE c_w_id = p_c_w_id AND c_d_id = p_c_d_id AND c_last = p_c_last
ORDER BY c_first",8000,953.5906569999995,0.031168,4.820275,0.11919883212500043,0.16622670861024313,30591041,2119526.9967662427,0.00513,15374.163951,0.06928587349369941,3.926389045412443,27469249,338940390,15057394,1065,10065739,0,0,0,0,0,0,0,0,4308,51,595521
16384,16385,-3592928687585607568,"select payment($1,$2,$3,$4,$5,$6,$7,$8,$9,$10)",50978240,717480.4785057902,0.006466,5.076884,0.014074249689786144,0.004366340029375568,50978240,385739810.49266356,0.11808199999999999,61647.900524000004,7.5667541777138165,103.31297656541643,50978240,6043183050,319088154,89134385,213902022,0,0,0,0,0,0,0,0,278734667,14795455,141270088677
10,16385,-8610820246424350903,CREATE EXTENSION IF NOT EXISTS pgstattuple,0,0,0,0,0,0,1,91.761412,91.761412,91.761412,91.761412,0,0,1459,67,38,2,0,0,0,0,0,0,0,0,204,26,157349
10,16385,2731823826012773586,"COPY (SELECT oid, relname, relkind, pg_table_size(oid) AS size, pg_size_pretty(pg_table_size(oid)) AS size_pretty FROM pg_class WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $1) AND relkind IN ($2, $3) ORDER BY relname) TO stdout WITH CSV HEADER",1,0.328607,0.328607,0.328607,0.328607,0,1,1.158187,1.158187,1.158187,1.158187,0,19,445,5,0,0,0,0,0,0,0,0,0,0,0,0,0
